Cazador: Bucket=1498876634, Hash=3984776322
Cazador: Bucket=2465295065, Hash=1763361847
Cazador: Bucket=953998645, Hash=737409399
Cazador: Bucket=3448274439, Hash=4112577340
Cazador: Bucket=3551918588, Hash=1172384181
Cazador: Bucket=14239492, Hash=2752429099
Cazador: Bucket=20886954, Hash=2405271937
Cazador: Bucket=1585787867, Hash=1109145282
Cazador: Bucket=4023194814, Hash=1470356892
Cazador: Bucket=2025709351, Hash=2894282039
Cazador: Bucket=284967655, Hash=2749722041
Cazador: Bucket=3284755031, Hash=4282591831
Cazador: Bucket=4292445962, Hash=4026763349
Cazador: Bucket=4274335291, Hash=2680217521
Cazador: Bucket=3683254069, Hash=152583919
Cazador: Bucket=1107761855, Hash=3183180185
Cazador: Bucket=1506418338, Hash=3980449645
Titán: Bucket=1498876634, Hash=970034755
Titán: Bucket=2465295065, Hash=648595258
Titán: Bucket=953998645, Hash=2155534128
Titán: Bucket=3448274439, Hash=517096395
Titán: Bucket=3551918588, Hash=2195895938
Titán: Bucket=14239492, Hash=3718617552
Titán: Bucket=20886954, Hash=3478460146
Titán: Bucket=1585787867, Hash=266021826
Titán: Bucket=4023194814, Hash=1820763748
Titán: Bucket=2025709351, Hash=3268592502
Titán: Bucket=284967655, Hash=2459768632
Titán: Bucket=3284755031, Hash=1616346845
Titán: Bucket=4292445962, Hash=4026763349
Titán: Bucket=4274335291, Hash=4178714189
Titán: Bucket=3683254069, Hash=152583919
Titán: Bucket=1107761855, Hash=3183180185
Titán: Bucket=1506418338, Hash=3980449645
Hechicero: Bucket=1498876634, Hash=3558681245
Hechicero: Bucket=2465295065, Hash=3649985571
Hechicero: Bucket=953998645, Hash=4195186942
Hechicero: Bucket=3448274439, Hash=2545426109
Hechicero: Bucket=3551918588, Hash=3787517196
Hechicero: Bucket=14239492, Hash=315615761
Hechicero: Bucket=20886954, Hash=944242985
Hechicero: Bucket=1585787867, Hash=2511045676
Hechicero: Bucket=4023194814, Hash=2505000979
Hechicero: Bucket=2025709351, Hash=2894282039
Hechicero: Bucket=284967655, Hash=1350491133
Hechicero: Bucket=3284755031, Hash=3941205951
Hechicero: Bucket=4292445962, Hash=4026763349
Hechicero: Bucket=4274335291, Hash=2525626415
Hechicero: Bucket=3683254069, Hash=152583919
Hechicero: Bucket=1107761855, Hash=3183180185
Hechicero: Bucket=1506418338, Hash=3980449645
